STORE_ID	1_CATEGORY	2_CATEGORY	3_CATEGORY	4_CATEGORY	NAME	BUSINESS_NAME	PARTNER_NAME	STREET	NUM	CITY	STATE	ZIP	LOCALE_TYPE	INTRODUCED_DATE	RETIRED_DATE	REINTRODUCED_DATE	STATUS	LAT	LONG	SALES_AREA_LEVEL_1	SALES_AREA_LEVEL_2	SALES_AREA_LEVEL_3	INGESTION_DATE	STORE_PHONE	STORE_LINK	PARTNER_ID
1071	NORDESTE	B	G - 1137m2 a 1600m2	SHOPPING			LB SHOP TACARUNA	AVENIDA AGAMENON MAGALHAES 153		RECIFE	PE	50110-900		2014-04-23T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1072	PLANETA BEBE	B	M - 828m2 a 1136m2	SHOPPING			PB PARQUE SHOP MACEIO	AVENIDA COMENDADOR GUSTAVO PAI		MACEIO	AL	57038-000		2014-04-17T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1073	PLANETA BEBE	B	M - 828m2 a 1136m2	SHOPPING			PB SHOPPING PARALELA	AVENIDA LUIS VIANA 8544, LJ.C		SALVADOR	BA	41730-101		2014-04-03T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1074	BAHIA	C	P - Ate 827m2	RUA			LB LIBERDADE	ESTRADA DA LIBERDAD 370, PRIMO		SALVADOR	BA	40370-006		2014-04-07T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1054	SUDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB SHOP IGUATEMI ESPLANADA	AVENIDA GISELE CONSTANTINO SN		VOTORANTIM	SP	18110-650		2013-11-14T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1055	PLANETA BEBE	B	G - 1137m2 a 1600m2	SHOPPING			PB SHOP SSA	AVENIDA TANCREDO NEVES 3133		SALVADOR	BA	41820-021		2007-05-22T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1056	BAHIA	B	P - Ate 827m2	RUA			LB ALAGOINHAS	RUA PADRE VIEIRA SN		ALAGOINHAS	BA	48040-320		2013-12-18T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1057	NORDESTE	A	M - 828m2 a 1136m2	SHOPPING			LB PARQUE SHOP MACEIO	AVENIDA COMENDADOR GUSTAVO PAI		MACEIO	AL	57038-000		2013-11-06T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1058	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB RIVER SHOP PETROLINA	AVENIDA MONSENHOR ÂNGELO SAMPA		PETROLINA	PE	56304-920		2013-11-19T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1059	BAHIA	B	M - 828m2 a 1136m2	RUA			LB JEQUIE	RUA JOAO MANGABEIRA 3579		JEQUIE	BA	45200-320		2013-11-28T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
